id,level,parent,name_th,name_roman,name_en,class,class_th,resident,upkeep,provenance_sensitivity,form,materials,functions,region,wat_th,maker_th,era_en,what_th,what_en,listings,median_thb,image,image_license,url,json,confidence,updated
ai-khai,kind,,ไอ้ไข่,ai khai,Ai Khai (the temple boy of Wat Chedi),,ยังไม่ชี้ขาด,,,,figure,nuea_loha|thonglueang|nuea_din,chok_lap|khum_khrong,th-south|th,วัดเจดีย์ (ไอ้ไข่) ตำบลฉลอง อำเภอสิชล จังหวัดนครศรีธรรมราช,รูปไม้ทองหลางแกะโดยผู้ใหญ่เที่ยงก่อน พ.ศ. ๒๕๒๕ · รูปไม้ตะเคียนแกะ พ.ศ. ๒๕๒๔–๒๕๒๕ · วัตถุมงคลรุ่นแรกออกโดยเจ้าอาวาส พ.ศ. ๒๕๒๖,"Carvings before 1982, first run 1983; the national wave is the 2020s and the trade counts it the biggest since Jatukham",วิญญาณเด็กวัดเจดีย์ อำเภอสิชล กระแสศรัทธาใหญ่ที่สุดนับแต่จตุคาม ขอเรื่องหวยแล้วแก้บนด้วยประทัดและของเล่นทหาร วัตถุมงคลเป็นพาหะของศรัทธา การรักษาคำบนคือการเลี้ยง,"The boy-spirit of Wat Chedi in Sichon, the biggest devotional wave since Jatukham — asked for lottery luck and repaid in firecrackers and toy soldiers. The amulet carries the devotion; the vow-keeping is the keeping.",409,78.21,ai-khai/ai-khai-wat-ai-khai-1-777571.jpg,CC BY-SA 4.0,https://wichaa.net/amulets/kind/ai-khai/,https://wichaa.net/amulets/api/kind/ai-khai.json,medium,2026-09-02
bat-quai,kind,,กระจกยันต์แปดทิศ,bát quái,Bagua mirror,yantra_wattu,วัตถุมงคล (ยันต์),none,none,low,other,,khum_khrong,vn|diaspora,,ร้านฮวงจุ้ยและโรงงาน ไม่ผูกวัด,The trigrams are attributed in legend to Fuxi; the door mirror as an inexpensive self-administered remedy is modern and undated in the sources,กระจกในกรอบแปดเหลี่ยมมีตรีลักษณ์ ๘ ล้อม แขวนเหนือประตูด้านนอกหันออกเพื่อสะท้อนสิ่งไม่ดี ไม่ใช่ของใส่ตัว เวียดนามเรียก gương bát quái ไทยเรียกกระจกยันต์แปดทิศหรือโป๊ยข่วย พลังอยู่ที่แผนภาพ ไม่มีผู้สถิต,"A mirror in an octagonal frame of the eight trigrams, hung outside above the door and facing away, to turn back harmful qi from a road or a building edge. Not worn, not venerated: an impersonal diagram doing a job at the threshold. Vietnamese gương bát quái, Thai กระจกยันต์แปดทิศ.",3,55.0,bat-quai/bat-quai-three-types-of-modern-bagua-mirror-talis-599dd4.jpg,CC0,https://wichaa.net/amulets/kind/bat-quai/,https://wichaa.net/amulets/api/kind/bat-quai.json,medium,2026-09-02
bia-kae,kind,,เบี้ยแก้,bia kae,Bia kae (warding cowrie),yantra_wattu,วัตถุมงคล (ยันต์),none,none,low,shell,takua,maha_ut|kan_phi|khum_khrong,th-central,วัดกลางบางแก้ว,ท่านเจ้าคุณพุทธวิถีนายก (หลวงปู่บุญ) ตามที่ตำราระบุ,"Undated treatise; the ascription is the treatise's, not verified here",หอยเบี้ยบรรจุปรอทผนึกไว้ ถักเชือกหรือหุ้มโลหะ เครื่องราง แก้ คลาสสิกที่หันภัยและคุณไสยออกไป ตำราในคลังนี้มีวิธีสร้างที่ระบุว่าเป็นของหลวงปู่บุญ วัดกลางบางแก้ว,A cowrie shell loaded with sealed mercury and bound in cord or foil — the classic 'undoer' that turns aside harm and bad medicine. The formulary in this corpus carries a making ascribed to Luang Pu Bun of Wat Klang Bang Kaew.,276,118.5,,,https://wichaa.net/amulets/kind/bia-kae/,https://wichaa.net/amulets/api/kind/bia-kae.json,high,2026-09-02
bo-min-gaung,kind,,โบมินกอง,Bo Min Gaung,Bo Min Gaung image (weikza saint),thep_thewada,เทพ / เทวดา,deva,veneration,medium,figure,,khum_khrong|khlaeo_khlat|chok_lap,mm,,,"Bo Min Gaung: born 2 May 1880 near Mount Popa, Kyaukpadaung Township; died 5 September 1952 at Mount Popa. Images are twentieth century onward.",รูปของโบมินกอง วิชชาผู้เป็นที่นับถือที่สุดของพม่ายุคใหม่ เกิดใกล้ภูเขาโปปา มรณภาพที่นั่นเมื่อ พ.ศ. ๒๔๙๕ ศิษย์เชื่อว่าท่านยังอยู่ ให้ความฝัน โชคลาภ และความคุ้มครอง จึงตั้งรูปไว้บนหิ้งและพกติดตัว,"Images of Bo Min Gaung, the most venerated weikza of modern Burmese Buddhism: born near Mount Popa in 1880, died there in 1952. Devotees hold that he did not die as others do, that he bestows dreams, wealth and protection, and his image sits on household altars and travels as a locket. A named being venerated through the object, which is what places it with the devas rather than with Buddha amulets.",,,bo-min-gaung/bo-min-gaung-bo-min-gaung-statue-at-shwedagon-pagoda-86d9f9.jpg,CC BY-SA 3.0,https://wichaa.net/amulets/kind/bo-min-gaung/,https://wichaa.net/amulets/api/kind/bo-min-gaung.json,medium,2026-09-02
bua,kind,,ยันต์กระดาษเวียดนาม,bùa,Vietnamese talisman (bùa),yantra_wattu,วัตถุมงคล (ยันต์),none,none,low,other,,khum_khrong|kan_phi,vn,,วัด (chùa) ศาลเจ้า (đền) พระสงฆ์ หรือหมอผี (thầy),Continuing practice; early-twentieth-century accounts describe them commonly given to children for health,เครื่องรางเวียดนาม คำว่า bùa ครอบคลุมยันต์กระดาษแบบจีน เหรียญยันต์ และ bùa hộ mệnh ที่พกติดตัว ส่วนใหญ่เป็นกระดาษเขียนอักษรจีนหรือโนม พับใส่ถุงผ้าห้อยคอ พลังอยู่ที่อักษรและพิธี ไม่มีผู้สถิต,"The Vietnamese talisman: a paper written with Chinese or Nôm characters and talismanic strokes, folded into a cloth pouch and worn, or pasted in the house. The word bùa also covers coin charms, jade and metal pieces, and spoken spells; power sits in the writing and the rite, nobody is home.",,,bua/bua-b-a-b-nh-an-c-u-c-ch-a-t-i-ng-h-n-m-2016-5ff425.jpg,CC BY-SA 4.0,https://wichaa.net/amulets/kind/bua/,https://wichaa.net/amulets/api/kind/bua.json,medium,2026-09-02
cha-ping,kind,,จะปิ้ง,cha ping,Cha ping (child's modesty plate),,ยังไม่ชี้ขาด,,,,other,kala|ngoen|naak|thongkham,khum_khrong,th|my|id,,ช่างทอง ช่างเงินตามฐานะครอบครัว,Attested from the Srivijaya centuries through early Bangkok; museum examples bought in Bangkok in 1887; rare on children today,แผ่นปิดของลับสำหรับเด็กเล็ก ผูกเชือกคาดเอว ทำจากทองเหลือง เงิน นาก ทอง หรือกะลา รูปหัวใจหรือใบไม้สำหรับเด็กหญิง โล่สำหรับเด็กชาย พิพิธภัณฑ์สตอกโฮล์มที่ซื้อจากบางกอกใน พ.ศ. ๒๔๓๐ จดว่าเป็น “เครื่องราง”,"A child's modesty plate worn on a waist cord — brass, silver, nak, gold or coconut shell; heart or leaf for girls, shield for boys. The Stockholm museum that bought a set in Bangkok in 1887 catalogued them as amulets, and the Thai article notes the Tamil cousin is a talisman against spirits.",0,,cha-ping/cha-ping-museum-prydnad-girls-heart-form-267065.jpg,CC0,https://wichaa.net/amulets/kind/cha-ping/,https://wichaa.net/amulets/api/kind/cha-ping.json,medium,2026-09-03
chan-mak,kind,,ฉันหมาก,chan mak,Chan mak (a monk's chewed betel quid),phra_khrueang,พระเครื่อง,none,none,low,natural,nuea_phong,metta_maha_niyom|khum_khrong,th,ไม่มีวัดเดียว · วิกิพีเดียไทย: วัดจันทาวาส ตำบลท่าทอง อำเภอกาญจนดิษฐ์ สุราษฎร์ธานี (พระครูคลาย คนฺธสุธมฺโม) · วัดราชโยธา กรุงเทพฯ (หลวงปู่ทอง อายะนะ) · วัดชำปะง่าม (สมเด็จชานหมาก),พระเกจิที่ฉันหมาก ผู้ใดก็ได้ที่ศิษย์เก็บชานหมากของท่านไว้ การ์ดอ้างอิงเอ่ยหลวงปู่สี และหลวงพ่อทบ ว่าราคาสูงสุด,"Betel chewing was campaigned against from 1940 and faded from the cities, so the supply is mostly monks of that generation and rural elders since — an inference from the betel article, not a dated claim",ชานหมากที่พระเกจิผู้เป็นที่เคารพเคี้ยวเอง ตากแห้งเก็บไว้ — พระธาตุจากร่างกายในความหมายตรงที่สุด ราคาในตลาดเป็นไปตามนั้น พลังคือบารมีของท่าน การเลี้ยงคือความเคารพธรรมดา,"A quid of betel a revered monk himself chewed, dried and kept — a bodily relic in the most literal sense, priced accordingly in the living market. Power is the master's barami; keeping is plain respect.",270,299.0,,,https://wichaa.net/amulets/kind/chan-mak/,https://wichaa.net/amulets/api/kind/chan-mak.json,medium,2026-09-02
chingchok-song-hang,kind,,จิ้งจกสองหาง,chingchok song hang,Two-tailed gecko,khong_thammachat,เครื่องรางธรรมชาติ,none,none,low,natural,,chok_lap|metta_maha_niyom,th,วัดโพธิ์รัตนาราม ราชบุรี (พระสมเด็จหลังจิ้งจกสองหาง พ.ศ. ๒๕๒๐),พระอธิการคง จิตตคโม (พระสมเด็จหลังจิ้งจก),The belief is undated folk knowledge; one named issue is 1977,จิ้งจกบ้านที่หางงอกใหม่เป็นสองแฉก ถือเป็นของหายากตามธรรมชาติ เก็บแห้งไว้เพื่อโชคลาภเมตตา ไม่ต้องเสก ไม่ต้องเลี้ยง ของแกะเลียนแบบมีมาก,"A house gecko whose regrown tail forked in two, kept dried as a natural rarity for luck and favour. Nothing conferred and nothing to feed; carved imitations far outnumber the real thing.",2,279.0,chingchok-song-hang/chingchok-song-hang-two-tailed-lizard-9b48cc.jpg,CC BY-SA 3.0,https://wichaa.net/amulets/kind/chingchok-song-hang/,https://wichaa.net/amulets/api/kind/chingchok-song-hang.json,medium,2026-09-02
chuchok,kind,,ชูชก,chuchok,Chuchok (the beggar of the Vessantara Jataka),,ยังไม่ชี้ขาด,,,,figure,nuea_loha|thonglueang,kha_khai|chok_lap|metta_maha_niyom,th-central|th,ไม่มีวัดต้นกำเนิดเดียว · วิกิพีเดียไทยเอ่ยถึงมณฑปพ่อปู่ชูชกและรูปชูชก “ใหญ่ที่สุดในโลก” ที่วัดป้อมรามัญ ตำบลสวนพริก อยุธยา,หลายวัดหลายเกจิ ไม่มีผู้สร้างต้นแบบ,"The character is canonical — kan 5 of the thirteen kan of the Maha Wessandon Jataka is his. The charm is modern; the trade treats it as a recent devotion, and no dated first issue is named here",พราหมณ์ขอทานผู้ไม่รู้จักเหนื่อยในชาดก คนขายและคนขอพกไว้ด้วยตรรกะว่าไม่มีใครเคยปฏิเสธเขา เป็นศรัทธาของตลาด ทั้งรูปบูชาและจี้ห้อยคอ,"The jataka's tireless beggar, carried by sellers and askers on the logic that no one ever refused him. A statue-and-pendant devotion of the marketplace.",8,104.0,chuchok/chuchok-jpg-827e99.jpg,CC BY 4.0,https://wichaa.net/amulets/kind/chuchok/,https://wichaa.net/amulets/api/kind/chuchok.json,medium,2026-09-02
dat-lone,kind,,ลูกแก้วธาตุ,dat-lone,Dat-lone (weikza alchemical ball),,ยังไม่ชี้ขาด,,,,bead,nuea_loha,khong_kraphan|khlaeo_khlat|khum_khrong,mm,,วิชชาสายปรอทและสายเหล็ก,Undated; the weikza movement as now known is placed in the Konbaung period,ลูกกลมโลหะที่วิชชาพม่าหุงขึ้นจากปรอทหรือเหล็ก เชื่อกันว่าเมื่อสำเร็จจะให้คงกระพัน อายุยืน และเป็นบันไดสู่ความเป็นวิชชา เป็นคู่เทียบของเหล็กไหลไทย แต่เหล็กไหลเป็นของที่ไปเอามา ส่วนดั๊ตโลนเป็นของที่ทำขึ้น,"The alchemical ball of the Burmese weikza tradition: mercury or iron fired through the stages until it is held to be finished. Carried for invulnerability and long life, and for the adept a step toward becoming a weikza. The Burmese counterpart of Thai lek lai — but lek lai is fetched from a cave and a dat-lone is made in a fire.",,,dat-lone/dat-lone-burmese-weizzas-453b93.jpg,CC BY-SA 4.0,https://wichaa.net/amulets/kind/dat-lone/,https://wichaa.net/amulets/api/kind/dat-lone.json,low,2026-09-02
